mesh_code,longitude,latitude
5439312321,139.1703125,36.26770833333333
5439312312,139.1671875,36.26770833333333
5439311641,139.2078125,36.26354166666667
5439311632,139.2046875,36.26354166666667
5439311624,139.2109375,36.26145833333333
5439311623,139.2078125,36.26145833333333
5439311614,139.2046875,36.26145833333333
5439311511,139.1890625,36.259375
5439311424,139.18593750000002,36.26145833333333
5439311423,139.1828125,36.26145833333333
5439311422,139.18593750000002,36.259375
5439311421,139.1828125,36.259375
5439311412,139.17968750000003,36.259375
5439311411,139.17656250000002,36.259375
5439311343,139.1703125,36.265625
5439311342,139.1734375,36.26354166666667
5439311341,139.1703125,36.26354166666667
5439311324,139.1734375,36.26145833333333
5439311323,139.1703125,36.26145833333333
5439311322,139.1734375,36.259375
5439311321,139.1703125,36.259375
5439310722,139.22343750000002,36.251041666666666
5439310721,139.2203125,36.251041666666666
5439310712,139.21718750000002,36.251041666666666
5439310613,139.2015625,36.253125
5439310612,139.2046875,36.251041666666666
5439310611,139.2015625,36.251041666666666
5439310533,139.1890625,36.25729166666667
5439310532,139.19218750000002,36.255208333333336
5439310531,139.1890625,36.255208333333336
5439310522,139.1984375,36.251041666666666
5439310521,139.1953125,36.251041666666666
5439310514,139.19218750000002,36.253125
5439310512,139.19218750000002,36.251041666666666
5439310511,139.1890625,36.251041666666666
5439310444,139.18593750000002,36.25729166666667
5439310443,139.1828125,36.25729166666667
5439310442,139.18593750000002,36.255208333333336
5439310441,139.1828125,36.255208333333336
5439310434,139.17968750000003,36.25729166666667
5439310433,139.17656250000002,36.25729166666667
5439310432,139.17968750000003,36.255208333333336
5439310424,139.18593750000002,36.253125
5439310423,139.1828125,36.253125
5439310422,139.18593750000002,36.251041666666666
5439310421,139.1828125,36.251041666666666
5439310414,139.17968750000003,36.253125
5439310412,139.17968750000003,36.251041666666666
5439310331,139.1640625,36.255208333333336
5439310322,139.1734375,36.251041666666666
5439310321,139.1703125,36.251041666666666
5439310314,139.1671875,36.253125
5439310313,139.1640625,36.253125
5439310312,139.1671875,36.251041666666666
5439310311,139.1640625,36.251041666666666
5439310242,139.16093750000002,36.255208333333336
5439310224,139.16093750000002,36.253125
5439310223,139.1578125,36.253125
5439310222,139.16093750000002,36.251041666666666
5439310221,139.1578125,36.251041666666666
5439310212,139.15468750000002,36.251041666666666
5439219931,139.23906250000002,36.246875
5439219914,139.24218750000003,36.244791666666664
5439219844,139.2359375,36.248958333333334
5439219842,139.2359375,36.246875
5439219831,139.2265625,36.246875
5439219824,139.2359375,36.244791666666664
5439219823,139.2328125,36.244791666666664
5439219821,139.2328125,36.24270833333333
5439219813,139.2265625,36.244791666666664
5439219812,139.2296875,36.24270833333333
5439219811,139.2265625,36.24270833333333
5439219744,139.22343750000002,36.248958333333334
5439219743,139.2203125,36.248958333333334
5439219731,139.2140625,36.246875
5439219724,139.22343750000002,36.244791666666664
5439219721,139.2203125,36.24270833333333
5439219714,139.21718750000002,36.244791666666664
5439219713,139.2140625,36.244791666666664
5439219712,139.21718750000002,36.24270833333333
5439219644,139.2109375,36.248958333333334
5439219641,139.2078125,36.246875
5439219634,139.2046875,36.248958333333334
5439219633,139.2015625,36.248958333333334
5439219613,139.2015625,36.244791666666664
5439219611,139.2015625,36.24270833333333
5439219542,139.1984375,36.246875
5439219541,139.1953125,36.246875
5439219533,139.1890625,36.248958333333334
5439219532,139.19218750000002,36.246875
5439219531,139.1890625,36.246875
5439219524,139.1984375,36.244791666666664
5439219523,139.1953125,36.244791666666664
5439219522,139.1984375,36.24270833333333
5439219521,139.1953125,36.24270833333333
5439219514,139.19218750000002,36.244791666666664
5439219513,139.1890625,36.244791666666664
5439219512,139.19218750000002,36.24270833333333
5439219511,139.1890625,36.24270833333333
5439219444,139.18593750000002,36.248958333333334
5439219443,139.1828125,36.248958333333334
5439219442,139.18593750000002,36.246875
5439219441,139.1828125,36.246875
5439219434,139.17968750000003,36.248958333333334
5439219433,139.17656250000002,36.248958333333334
5439219432,139.17968750000003,36.246875
5439219431,139.17656250000002,36.246875
