mesh_code,type,num,distance
5439104543,bunka,0,4712.120474
5439104543,bunka,1,10120.87509
5439104543,byoin,0,4818.470472
5439104543,byoin,1,2180.196397
5439104543,byoin,2,9766.019365
5439104543,byoin,3,4888.818389
5439104543,byoin,4,2415.656196
5439104543,byoin,5,9071.97261
5439104543,jido,0,3459.016183
5439104543,jido,1,4354.505599
5439104543,kominkan,0,4712.120474
5439104543,kominkan,1,10120.87509
5439104543,kominkan,2,3394.57778
5439104543,kominkan,3,4550.88074
5439104543,kominkan,4,2443.565658
5439104543,kominkan,5,4609.657524
5439104543,kominkan,6,6013.665756
5439104543,kominkan,7,3907.347218
5439104543,kominkan,8,912.9670891
5439104543,kominkan,9,5856.280913
5439104543,kominkan,10,9406.599131
5439104543,kominkan,11,6801.527146
5439104543,kominkan,12,9297.904369
5439104543,sangyoshinko,0,12202.16043
5439104543,sangyoshinko,1,14784.44616
5439104543,sangyoshinko,2,3818.34952
5439104543,shiminkatsudo,0,3921.103827
5439104543,shiminkatsudo,1,2840.18115
5439104543,shiminkatsudo,2,5134.043831
5439104543,shiminkatsudo,3,1149.06745
5439104543,shiryokanto,0,3021.445068
5439104543,shiryokanto,1,9224.208643
5439104543,shiryokanto,2,9163.22151
5439104543,sports,0,2840.18115
5439104543,sports,1,2082.19021
5439104543,sports,2,2082.19021
5439104543,sports,3,5852.424391
5439104543,sports,4,5852.424391
5439104543,sports,5,10211.91682
5439104543,super,0,3445.574443
5439104543,super,1,8617.036213
5439104543,super,2,3725.35898
5439104543,super,3,9724.06854
5439104543,super,4,8981.114007
5439104543,toshokan,0,2977.548788
5439104543,toshokan,1,10120.87509
5439104631,bunka,0,4411.619901
5439104631,bunka,1,11670.19293
5439104631,byoin,0,4552.928184
5439104631,byoin,1,4095.505815
5439104631,byoin,2,10822.60578
5439104631,byoin,3,4422.013834
5439104631,byoin,4,3194.942155
5439104631,byoin,5,10410.53631
5439104631,jido,0,3802.203465
5439104631,jido,1,3217.649721
5439104631,kominkan,0,4411.619901
5439104631,kominkan,1,11670.19293
5439104631,kominkan,2,2433.004854
5439104631,kominkan,3,3433.992915
5439104631,kominkan,4,3768.298151
