type,mesh_code,disp,sd
bunka,5439104543,0.2153311140301445,0.46403783685185035
bunka,5439104631,0.21617722031740866,0.46494862115873475
bunka,5439104633,0.21449211994843886,0.46313293982229214
bunka,5439105512,0.21430687164944262,0.46293290188691777
bunka,5439105611,0.2127460239924364,0.46124399615868866
bunka,5439105613,0.21093699023730297,0.45927877181217835
bunka,5439105631,0.20906317946880906,0.4572342719753289
bunka,5439105634,0.20653696117474388,0.45446337715457763
bunka,5439106524,0.20391474857638628,0.4515692068513821
bunka,5439106534,0.20224141436078114,0.4497125908408404
bunka,5439106612,0.20443607601478728,0.45214607818136304
bunka,5439106634,0.1976517652488187,0.44458043732132285
bunka,5439107621,0.1941808040700014,0.4406595103591904
bunka,5439107644,0.18446061184908163,0.4294887796544651
bunka,5439108622,0.18127890172296288,0.4257686011473402
bunka,5439108624,0.1779749222540843,0.42187074116852935
bunka,5439108711,0.17981136951596188,0.4240417072835665
bunka,5439108743,0.16480732626371927,0.40596468598108293
bunka,5439108744,0.1633573781838673,0.40417493512570435
bunka,5439109614,0.17002642144927949,0.4123426020304954
bunka,5439109624,0.1636336001444369,0.4045165016960827
bunka,5439109713,0.16057471107099774,0.40071774489158546
bunka,5439109722,0.1582755090209728,0.3978385464242659
bunka,5439109724,0.15288158575826977,0.39100074905077836
bunka,5439109731,0.15631894512016598,0.3953719073482156
bunka,5439109813,0.1511555040257648,0.3887872220453815
bunka,5439109821,0.15606754417592478,0.3950538497166238
bunka,5439109831,0.14496633371742473,0.3807444467322206
bunka,5439109833,0.1383501218441375,0.3719544620570339
bunka,5439109844,0.1351074526566519,0.36756965687696785
bunka,5439109924,0.1614346108317158,0.4017892617177764
bunka,5439109933,0.1362960990066727,0.36918301559886624
bunka,5439109934,0.138803882813808,0.3725639311766613
bunka,5439109942,0.15488145274776277,0.39354980974174386
bunka,5439109944,0.14770266980144,0.38432105042716563
bunka,5439119013,0.16648473675885425,0.4080254119032959
bunka,5439119031,0.16043923007691013,0.4005486613095969
bunka,5439119033,0.15386313945656688,0.3922539221684939
bunka,5439119131,0.18887862282245113,0.4346016829494004
bunka,5439119133,0.18530778781582635,0.4304739107261047
bunka,5439200812,0.1285911310582399,0.3585960555530971
bunka,5439200821,0.12690045852618204,0.35623090619173126
bunka,5439200822,0.12646104546755085,0.35561361822566756
bunka,5439200824,0.11692468445228561,0.3419425162981135
bunka,5439200842,0.10637925104788214,0.3261583220582945
bunka,5439200911,0.12747186418688566,0.3570320212346305
bunka,5439200913,0.11768003963292599,0.34304524429428546
bunka,5439200922,0.13981936939246992,0.37392428296711344
bunka,5439200924,0.1311447725438272,0.36213916184780015
bunka,5439200931,0.10676978502160762,0.326756461331077
bunka,5439200932,0.10945494315617008,0.33083975449780834
bunka,5439200933,0.0945671021773409,0.307517645310543
bunka,5439200934,0.09727593545308677,0.31189090312653683
bunka,5439200941,0.11446328165289785,0.33832422563703274
bunka,5439200942,0.12158751360625232,0.34869401142872003
bunka,5439200943,0.10287516790078935,0.3207415905379116
bunka,5439200944,0.1110600871526604,0.3332567886070146
bunka,5439201624,0.13460617110280845,0.3668871367366379
bunka,5439201641,0.13992938549677356,0.37407136417637415
bunka,5439201734,0.11062060669339495,0.3325967629027603
bunka,5439201742,0.0930040216699811,0.30496560735594613
bunka,5439201744,0.08702218629702818,0.29499523097336366
bunka,5439201824,0.06748977818786084,0.259787948503892
bunka,5439201832,0.0702615155501605,0.2650688883104928
bunka,5439201834,0.05986058013165531,0.24466421914872494
bunka,5439201842,0.05194715859116157,0.22791919311712555
bunka,5439201844,0.03554951743931736,0.1885457966630849
bunka,5439201912,0.08357744872323851,0.289097645654956
bunka,5439201913,0.06553122938866801,0.25599068223017024
bunka,5439201914,0.06815703373921594,0.2610690210255057
bunka,5439201923,0.0755274941442245,0.27482265944463985
