mesh_code,sd_average
5439104543,0.3850137791336363
5439104631,0.3851761538859727
5439104633,0.3851952985184248
5439105512,0.38493749595945354
5439105611,0.3852124780779231
5439105613,0.3852272862691029
5439105631,0.38523927953084475
5439105634,0.385364597476925
5439106524,0.38513803525478807
5439106534,0.3849081231416917
5439106612,0.38537372853595414
5439106634,0.38537052239755487
5439107621,0.3855039510526556
5439107644,0.3855893221879574
5439108622,0.3855396606787434
5439108624,0.3854757156324923
5439108711,0.38573258168045943
5439108743,0.3859544010664747
5439108744,0.3862545808165942
5439109614,0.38481677616602217
5439109624,0.38505677903051566
5439109713,0.3852150012779414
5439109722,0.3861167124083088
5439109724,0.3859392527182896
5439109731,0.38504700502317346
5439109813,0.38629884593996433
5439109821,0.3874026368016216
5439109831,0.38606968284321175
5439109833,0.38578100978491403
5439109844,0.38747963451327255
5439109924,0.39124623031212674
5439109933,0.3883404016821641
5439109934,0.38936043242990526
5439109942,0.3915321302560365
5439109944,0.3917962886590483
5439119013,0.3921900998629796
5439119031,0.39264418797242984
5439119033,0.3931153123175259
5439119131,0.3960733495859883
5439119133,0.3972038124157057
5439200812,0.3858402951850334
5439200821,0.38639831398265295
5439200822,0.3871300543570695
5439200824,0.38665283097008746
5439200842,0.3860203084660754
5439200911,0.38805937660549483
5439200913,0.38764363898654
5439200922,0.39202415301432586
5439200924,0.39219470655122485
5439200931,0.38705760134959166
5439200932,0.3884449905217586
5439200933,0.38625804596682867
5439200934,0.3877651178884798
5439200941,0.39019648563955717
5439200942,0.3922772437156257
5439200943,0.38976127661037474
5439200944,0.39222673515256257
5439201624,0.38361650273207726
5439201641,0.38364211237724355
5439201734,0.3827413002027591
5439201742,0.38225006109816423
5439201744,0.38176383374649175
5439201824,0.38285579419981053
5439201832,0.3814223668109513
5439201834,0.3803873942369878
5439201842,0.3812494161851605
5439201844,0.37929732126901683
5439201912,0.3868025592646533
5439201913,0.3838012419466089
5439201914,0.3854829438832457
5439201923,0.3880176489894568
5439201924,0.3914448285105009
5439201933,0.37970867028121547
5439201934,0.381429299985368
5439201941,0.38655428496711963
5439201942,0.3905334856343421
5439201944,0.38922560108897913
5439202622,0.38329209106050754
5439202623,0.3835268402373571
5439202642,0.3833394845832841
5439202643,0.38367833073512403
5439202711,0.38298607515691585
5439202712,0.3825839041515192
5439202713,0.38295842190436713
5439202714,0.38252137885578746
5439202722,0.3813764140777936
5439202723,0.38193558406634553
5439202724,0.38114777944918904
5439202731,0.38301395888917655
5439202734,0.3827414105212725
5439202742,0.38113416559219215
5439202743,0.3821684638796482
5439202744,0.38137085155173145
5439202811,0.38050057665831055
5439202813,0.38008217229623625
5439202821,0.3781309112319414
5439202822,0.37696579663865154
5439202823,0.3766856079441927
5439202824,0.37428273259483863
5439202831,0.3799688271194288
5439202832,0.37829458932413973
5439202833,0.3802396115663056
5439202834,0.3785843673917593
5439202841,0.375792254424014
5439202842,0.371796239809819
5439202843,0.3760331623058952
5439202844,0.37168175088718725
5439202911,0.37675357667657183
5439202912,0.37850135886310876
5439202913,0.37270310027925074
5439202921,0.382385313172729
5439202922,0.38779493401726745
5439202923,0.3800603250660866
5439202924,0.38709289910842004
5439202931,0.39449091551814597
5439202933,0.3946264692841218
5439202934,0.3948250196985237
5439202942,0.38825781837266504
5439202943,0.37952909393740913
5439202944,0.39148014382524216
5439203721,0.3825382675651342
5439203722,0.3818568763257508
5439203812,0.3795373881223526
5439203813,0.3818764651254658
5439203814,0.3809815829574834
5439203821,0.377556502936605
5439203823,0.3798635458722946
5439203824,0.3787551082567007
5439203841,0.38235293549715504
5439203842,0.38248098122895596
5439203844,0.38555177302841853
5439203912,0.3746153893601772
5439203913,0.37874027132601823
5439203914,0.38203244971318734
5439203922,0.3954921447897238
5439203931,0.3838003500733355
5439203932,0.3873019415559865
5439203942,0.40091884387730137
5439203944,0.40201302631828945
5439204824,0.3897711523231606
